Date|Type|Reference|Title
2025-11-17|Knife|WMid/1623752|Murder investigation launched in Birmingham
2025-11-17|Knife|Hants/1623822|Man, 21, charged with knife and drug offences following proactive stop near Blackwater
2025-11-17|Knife|WMid/1623852|Coventry man charged after burglary in Canley
2025-11-17|Knife|Hants/1623962|Man, 21, charged with knife and drug offences following proactive stop near Blackwater
2025-11-17|Knife|Derby/1623908|Appeal launched after woman is assaulted on river path in Derby
2025-11-17|Knife|AvonSomset/165559|CCTV appeal following robberies from shops [knife]
2025-11-17|Knife|Mersey/1624110|Three people arrested following stabbing in St Helens
2025-11-17|Knife|Cambs/1624417|Fourth person charged with murder
2025-11-17|Knife|Essex/1624302|Shoebury: Swift police action after report of man with sword
2025-11-17|Knife|Swindon|https://www.bbc.co.uk/news/articles/c629yymr3vmo
2025-11-18|Knife|Cambs/1624591|Arrest made in connection with mobile phone thefts
2025-11-18|Knife|Norfolk/1624613|Two charged following stabbing - Aylsham
2025-11-18|Knife|Sussex/1624723|Appeal launched following Brighton fight
2025-11-18|Knife|Hants/1624901|Man, 21, jailed for knife offence following proactive stop near Blackwater
2025-11-18|Knife|SYP/1624968|Criminal ordered to handover £40k watch bought with illegal gains
2025-11-18|Knife|WMid/1623752|Drug dealer hid class A drugs in his trousers
2025-11-18|Knife|Warwick/1624997|Man sentenced following Nuneaton stabbing incident earlier this year
2025-11-18|Knife|Notts/1624996|‘We will use every power at our disposal to find these people and throw the full force of the law at them’ – Police launch investigation into weapon confrontation in city
2025-11-17|Knife|Thames/1624990|Men sentenced to prison for robbery and other offences – Milton Keynes and Northampton
2025-11-17|Knife|Met/503410|Man sentenced following murder conviction after body discovered in flat
2025-11-17|Knife|Thames/1625174|Appeal for witnesses following disturbance – Marlow
2025-11-17|Knife|SYP/1625169|Boy in custody after college incident
2025-11-17|Knife|WMid/1625203|Murder arrest after man stabbed to death in Coventry
2025-11-18|Knife|Notts/1624895|Surgeon issues warning about devastating impact of knife crime
2025-11-18|Knife|Northhant/1625487|Witness appeal following incident in Northfield Avenue, Kettering
2025-11-18|Knife|SWales/1625752|Rhondda man jailed for threatening a man with a knife
2025-11-18|Knife|Leics/1627526|Image issued after delivery driver robbed in Leicester
2025-11-18|Knife|Thames/1627528|Man jailed for theft and weapon offences – Maidenhead
2025-11-18|Knife|BTP/1627521|Man charged with further offences following Huntingdon incident – Cambridgeshire
2025-11-18|Knife|Thames/1627649|Man charged after assault on police officer during arrest - Oxford
2025-11-18|Knife|WMid/1627850|Op Skybridge: Man charged with multiple offences in Erdington
2025-11-18|Knife|Derby/1627904|Man charged over assault of woman on river path in Derby
2025-11-18|Knife|Notts/1627995|Suspect arrested as police continue to hunt down machete-wielding youths
2025-11-18|Knife|SYP/1627928|Continuing police presence around Sheffield college after boy arrested
2025-11-18|Knife|WMid/1627946|Man convicted of the murder of Anthony Sharma
2025-11-18|Knife|AvonSomset/165765|Two arrested following incident in Filton
2025-11-18|Knife|Derby/1628021|Thief who pulled knife on shop worker jailed just three days after theft
2025-11-19|Knife|WMercia/1629058|Man charged with drug offences and having knife in public place
2025-11-20|Gun|Mersey/1629237|Detectives appeal for information following reports of shots fired in Litherland
2025-11-20|Knife|Web|Train stabbing suspect charged with additional attempted murder counts
2025-11-20|Knife|https://www.youtube.com/watch?v=w0ixEQDwahc|Armed robbers in Earl's Court floored by Met Officers
2025-11-20|Knife|WYP/195840|Appeal after Violent Disorder
2025-11-20|Knife|Herts/1629389|Stevenage man charged following stabbing
2025-11-20|Gun|Cleve/1629846|Man jailed for more than 15 years after joint investigation with North Yorkshire Police
2025-11-20|Knife|SYP/1629836|Doncaster predator sentenced to over two decades in prison
2025-11-20|Gun|WMid/1629738|Man arrested on suspicion of murdering two men in Wolverhampton
2025-11-20|Knife|AvonSomset/165806|Man guilty of the murder of Eddie Kinuthia
2025-11-20|Knife|Notts/1627499|Jailed knife carrier and thief handed shops ban
2025-11-20|Knife|SWales/1629694|Swansea man jailed after positive knife stop-search
2025-11-20|Knife|Met/503495|Murder investigation launched following assault in Enfield
2025-11-20|Knife|Mersey/1629537|Fifth person charged in connection with murder of Paul Foster
2025-11-21|Knife|Derby/1629968|Man arrested and charged after reports of knife seen in Chesterfield pub
2025-11-21|Knife|Met/503517|Man sentenced to life for murder in Walthamstow
2025-11-21|Gun|WMid/1630161|Man charged with the murders of two men in Wolverhampton
2025-11-21|Knife|SWales/1624839|Barry teenager convicted after being found with a knife in his waistband
2025-11-21|Knife|Notts/1630236|Five more arrests following machete incident in city centre
2025-11-21|Knife|WMid/1630235|Appeal for witnesses after man suffers slash wounds in Shirley
2025-11-21|Knife|Mersey/1630386|Man charged following domestic-related incident in Kirkby
2025-11-21|Gun|WMid/1630432|Shotgun and ammunition seized from Chelmsley Wood
2025-11-21|Knife|Northmb/1630704|Man jailed for murder in Newcastle
2025-11-21|Gun|Essex/1630753|Benfleet: Man charged with imitation firearms offences
2025-11-21|Knife|OFFX/8232|Dangerous rapist sentenced to 16 years.
2025-11-21|Knife|WMid/1630916|Two men guilty of killing man
2025-11-22|Knife|AvonSomset/165836|Three teenagers charged after serious assault in Filton
2025-11-22|Knife|Norfolk/1631001|Police launch murder investigation - Norwich
2025-11-22|Gun|Cleve/1631016|Armed officers respond to reports of suspected firearm in Eston
2025-11-22|Gun|WMid/1630790|Appeal for witnesses to come forward one year on from murder of Raad Asmael
2025-11-22|Gun|WMid/1631047|Man charged after shotgun recovered in Chelmsley Wood
2025-11-22|Knife||
2025-11-22|Knife||
2025-11-22|Knife||
2025-11-22|Knife||
2025-11-22|Knife||
